time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.20,1,16-21:25:03,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.40,1,16-21:25:03,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.60,1,16-21:25:03,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.80,1,16-21:25:03,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.00,2,16-21:25:03,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.20,2,16-21:25:04,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.40,2,16-21:25:04,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.60,2,16-21:25:04,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.80,2,16-21:25:04,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:03,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
4.00,3,16-21:25:04,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
